"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"AUC",0.9558,0.933,0.9361,0.9722,0.9305,0.9713,0.9498,0.9273,0.9305,0.9453,0.9427,0.9592,0.9362,0.9396,0.9085,0.9335,0.9407,0.9524,0.9374,0.9379,0.9313,0.9433,0.9704,0.8848,0.9538,0.9426,0.9338,0.9394,0.9583,0.9348,0.9221,0.9192,0.9469,1,0.9254,0.9519,1,0.9234,0.9396,0.9269,0.899,0.9251,0.9505,0.886,0.9436,0.923,0.9404,0.954,0.9492,0.9233,0.9422,0.9278,0.944,0.9275,0.9284,0.9481,0.9758,0.9212,0.9194,0.9484
"COR",0.699298652503313,0.663651833539398,0.707151858563666,0.797819411602504,0.688587962916802,0.744244060080644,0.754063298851946,0.652805655336624,0.681219076290012,0.728221744118924,0.689837169857965,0.737792994928054,0.684214439142649,0.719053751000766,0.596397570667534,0.66880547513203,0.70499879802749,0.785144632434452,0.689655941093575,0.717165049960316,0.672512723451915,0.711897772670314,0.786723761942492,0.63050915754701,0.736414901680562,0.679964665199022,0.682631180900857,0.71754513451306,0.763940198453336,0.670049117046962,0.666062697395505,0.632406587075842,0.712702683835901,0.861275424645075,0.636730622692884,0.7374654699108,0.865504091966273,0.642868361624012,0.712532465786219,0.607511911604365,0.682654642475511,0.666690371255877,0.734092589232729,0.542239489091147,0.713329655171879,0.632381557122605,0.731460208781229,0.592463560284171,0.721666105615704,0.652128859615127,0.701454311959438,0.673727459245562,0.717736520487563,0.634242133104693,0.650178007428924,0.752410346165259,0.786062373500534,0.629407374329988,0.637439583222634,0.71379656502798
"TSS",0.68331791551033,0.569236256550488,0.596348884381339,0.760287081339713,0.513793103448276,0.852466793168881,0.591397849462366,0.572926554474242,0.667716535433071,0.561227046569066,0.614814814814815,0.770303672316384,0.643690476190476,0.594296099538655,0.477380952380952,0.679960119641077,0.638237159162968,0.587301587301587,0.655934549006838,0.639756944444444,0.59109971614321,0.658022228555144,0.751515151515151,0.554545454545455,0.742216117216117,0.646697388632873,0.636673267326733,0.567656060929604,0.68805002315887,0.658587479935794,0.432900432900433,0.511277159512454,0.779716024340771,1,0.543225102777078,0.6235,0.571428571428571,0.557018122345617,0.544393592677346,0.59726443768997,0.545454545454545,0.596144062123444,0.630952380952381,0.371345029239766,0.536764705882353,0.560819327731092,0.573245614035088,0.867924528301887,0.598679197358395,0.561829474872953,0.65746488642275,0.599490650760673,0.62753362556667,0.497058823529412,0.577315019937971,0.455555555555556,0.903225806451613,0.551810793469737,0.511857707509881,0.686861570975696
"maxSSS",0.285776811027064,0.459175158667458,0.605093884027659,0.301409459232154,0.426271646036328,0.404483113769692,0.622283257677222,0.354314647680516,0.405652599508998,0.463376267249481,0.531966019500358,0.362379105010647,0.333408282884609,0.492825757092796,0.440895651599435,0.399911311444831,0.49082712091711,0.504024482437944,0.513791206062987,0.474611769910405,0.448972913210374,0.375059431060298,0.402322804487292,0.654081628804422,0.404466768430967,0.316627338313786,0.415161141374585,0.555845919599529,0.475856049034637,0.33636506584864,0.570264691285399,0.521221666777,0.368309477096225,0.221488490876653,0.441118151116984,0.471645907832903,0.538941142711111,0.33471703357827,0.506935468831568,0.441555004014327,0.47661120352271,0.368318907675939,0.431797537354201,0.411988296068179,0.563601081194376,0.351878826507967,0.586539871511187,0.251830957806544,0.381947305568922,0.407787429340438,0.454850124746321,0.533783137007712,0.446887354020533,0.303806713823226,0.392242775948019,0.52619166973753,0.297774122367364,0.380929549377719,0.586513325330837,0.440697223225799
"valid_test_data",88.4146341463415,86.6421568627451,87.7862595419847,90.6976744186046,84.9315068493151,91.4893617021277,87.1794871794872,86.7224880382775,89.5966029723992,86.4321608040201,87.6543209876543,91.3875598086124,88.4297520661157,87.5930521091811,83.8028169014084,89.0995260663507,88.7254901960784,86.6666666666667,89.0394088669951,89.0243902439024,87.2749099639856,89.3333333333333,91.4141414141414,86.4406779661017,91.2,87.9396984924623,88.7301587301587,86.7132867132867,90.6832298136646,88.7323943661972,81.6091954022989,84.7240051347882,90.9547738693467,100,85.7974388824214,88.5350318471338,86.9565217391304,86.2028301886792,85.6209150326797,86.1111111111111,82.7586206896552,87.4407582938389,88.125,80.6763285024155,85.7142857142857,86.3420427553444,86.7088607594937,87.719298245614,87.3417721518987,86.3414634146341,88.963963963964,87.5288683602771,88.4662576687117,84.3373493975904,86.3636363636364,82.051282051282,91.4285714285714,86.0744297719088,84.7953216374269,89.5522388059701
"prop_test",9.58333333333333,70.4166666666667,12.0833333333333,7.91666666666667,12.5,7.08333333333333,10,70.4166666666667,37.5,37.9166666666667,11.25,13.3333333333333,35,38.3333333333333,12.5,14.1666666666667,15.8333333333333,7.5,61.6666666666667,15,67.9166666666667,12.0833333333333,13.75,6.25,8.75,12.9166666666667,52.0833333333333,26.25,14.1666666666667,14.5833333333333,8.75,62.5,12.0833333333333,2.08333333333333,72.5,13.3333333333333,2.91666666666667,69.5833333333333,15.8333333333333,11.6666666666667,4.58333333333333,68.75,11.6666666666667,15,10,70.8333333333333,15.8333333333333,3.33333333333333,12.9166666666667,18.3333333333333,32.9166666666667,35.8333333333333,68.3333333333333,12.5,15.4166666666667,3.75,1.66666666666667,70.4166666666667,13.75,14.1666666666667
